20190618115727,0.000000,0.000000,46011,32.06584291,118.7712043,NoType,3,16485,67136306,1825,B3,77,-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115728,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,0,13352,27335,659,B0,49,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115730,0.000000,0.000000,46003,32.06584291,118.7712043,,1,14174,32869,283,,10,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115733,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,3,20486,230798339,38400,B39,247,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115736,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,0,20486,62483,78,B0,43,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115738,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,3,20739,83929867,1650,B3,76,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115741,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,2,53507,7312,10663,B0,315,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115743,0.000000,0.000000,46011,32.06584291,118.7712043,NoType,3,16485,67136306,1825,B3,77,-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115744,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,0,13352,27335,659,B0,49,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115750,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,3,20486,230798339,38400,B39,247,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115752,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,0,20486,62483,78,B0,43,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115754,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,3,20739,83929867,1650,B3,76,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115800,0.000000,0.000000,46011,32.06584291,118.7712043,NoType,3,16485,67136306,1825,B3,77,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115800,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,0,13352,27335,659,B0,49,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115802,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,2,53507,7312,10663,B0,315,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115805,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,3,20486,230798339,38400,B39,247,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115808,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,0,20757,54261,62,B0,46,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115810,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,3,20739,83929867,1650,B3,76,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115813,0.000000,0.000000,46003,32.06584291,118.7712043,,1,14174,32869,283,,10,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115815,0.000000,0.000000,46011,32.06584291,118.7712043,NoType,3,16485,67136306,1825,B3,77,-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115816,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,0,13352,27335,659,B0,49,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115821,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,3,20486,230798339,38400,B39,247,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115824,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,0,20486,62483,78,B0,43,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115825,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,2,53507,7312,10663,B0,315,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115827,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,3,20739,83929867,1650,B3,76,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115831,0.000000,0.000000,46011,32.06584291,118.7712043,NoType,3,16485,67136306,1825,B3,77,-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115832,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,0,13352,27335,659,B0,49,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115836,0.000000,0.000000,46003,32.06584291,118.7712043,,1,14174,32869,283,,10,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115837,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,3,20486,230798339,38400,B39,247,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115840,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,0,20486,62483,78,B0,43,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115843,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,3,20739,83929867,1650,B3,76,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115846,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,2,53507,7312,10663,B0,315,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115847,0.000000,0.000000,46011,32.06584291,118.7712043,NoType,3,16485,67136306,1825,B3,77,-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115848,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,0,13352,27335,659,B0,49,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115854,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,3,20486,230798339,38400,B39,247,-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115856,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,0,20486,62483,78,B0,43,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115858,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,3,20739,83929867,1650,B3,76,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
